test,compiler,class,threads,mopsTotal,mopsThread,time
bt,gnu,2A,1,3103.23,3103.23,54.23
bt,gnu,2A,2,4912.19,2456.10,34.26
bt,gnu,2A,4,9383.16,2345.79,17.93
bt,gnu,2A,8,21482.88,2685.36,7.83
bt,gnu,2A,16,41111.68,2569.48,4.09
bt,gnu,2A,32,38721.48,1210.05,4.35
bt,gnu,2A,40,42494.59,1062.36,3.96
bt,gnu,2A,48,38680.24,805.84,4.35
bt,gnu,3B,1,2899.76,2899.76,242.15
bt,gnu,3B,2,4627.51,2313.75,151.74
bt,gnu,3B,4,9287.72,2321.93,75.60
bt,gnu,3B,8,20179.79,2522.47,34.80
bt,gnu,3B,16,34454.59,2153.41,20.38
bt,gnu,3B,32,32989.57,1030.92,21.28
bt,gnu,3B,40,39166.79,979.17,17.93
bt,gnu,3B,48,40744.47,848.84,17.23
bt,gnu,4C,1,2832.90,2832.90,1011.78
bt,gnu,4C,2,4526.49,2263.24,633.22
bt,gnu,4C,4,10125.38,2531.34,283.08
bt,gnu,4C,8,19912.23,2489.03,143.95
bt,gnu,4C,16,35534.34,2220.90,80.66
bt,gnu,4C,32,36933.79,1154.18,77.61
bt,gnu,4C,40,41736.01,1043.40,68.68
bt,gnu,4C,48,40563.62,845.08,70.66
bt,gnu,1W,1,2634.69,2634.69,2.93
bt,gnu,1W,2,5167.96,2583.98,1.49
bt,gnu,1W,4,9264.45,2316.11,0.83
bt,gnu,1W,8,20785.03,2598.13,0.37
bt,gnu,1W,16,29968.82,1873.05,0.26
bt,gnu,1W,32,36429.02,1138.41,0.21
bt,gnu,1W,40,35794.12,894.85,0.22
bt,gnu,1W,48,2131.43,44.40,3.62
bt,intel,2A,1,3252.84,3252.84,51.73
bt,intel,2A,2,5338.80,2669.40,31.52
bt,intel,2A,4,9553.13,2388.28,17.62
bt,intel,2A,8,21548.77,2693.60,7.81
bt,intel,2A,16,41357.51,2584.84,4.07
bt,intel,2A,32,42337.77,1323.06,3.97
bt,intel,2A,40,42165.71,1054.14,3.99
bt,intel,2A,48,42824.47,892.18,3.93
bt,intel,3B,1,3057.69,3057.69,229.64
bt,intel,3B,2,5017.01,2508.51,139.96
bt,intel,3B,4,9260.01,2315.00,75.83
bt,intel,3B,8,19768.75,2471.09,35.52
bt,intel,3B,16,34740.93,2171.31,20.21
bt,intel,3B,32,32194.90,1006.09,21.81
bt,intel,3B,40,39200.14,980.00,17.91
bt,intel,3B,48,39563.20,824.23,17.75
bt,intel,4C,1,2780.16,2780.16,1030.98
bt,intel,4C,2,4929.51,2464.75,581.45
bt,intel,4C,4,10852.15,2713.04,264.12
bt,intel,4C,8,19754.14,2469.27,145.10
bt,intel,4C,16,25628.58,1601.79,111.84
bt,intel,4C,32,36477.62,1139.93,78.58
bt,intel,4C,40,42332.72,1058.32,67.71
bt,intel,4C,48,42695.99,889.50,67.13
bt,intel,1W,1,3378.99,3378.99,2.28
bt,intel,1W,2,5112.07,2556.04,1.51
bt,intel,1W,4,9244.89,2311.22,0.83
bt,intel,1W,8,20348.78,2543.60,0.38
bt,intel,1W,16,29638.04,1852.38,0.26
bt,intel,1W,32,36859.44,1151.86,0.21
bt,intel,1W,40,36337.46,908.44,0.21
bt,intel,1W,48,8657.29,180.36,0.89
ep,gnu,2A,1,26.82,26.82,20.02
ep,gnu,2A,2,53.74,26.87,9.99
ep,gnu,2A,4,107.21,26.80,5.01
ep,gnu,2A,8,255.91,31.99,2.10
ep,gnu,2A,16,437.18,27.32,1.23
ep,gnu,2A,32,752.83,23.53,0.71
ep,gnu,2A,40,933.36,23.33,0.58
ep,gnu,2A,48,748.67,15.60,0.72
ep,gnu,3B,1,35.67,35.67,60.20
ep,gnu,3B,2,53.72,26.86,39.98
ep,gnu,3B,4,123.91,30.98,17.33
ep,gnu,3B,8,229.77,28.72,9.35
ep,gnu,3B,16,437.62,27.35,4.91
ep,gnu,3B,32,703.99,22.00,3.05
ep,gnu,3B,40,943.64,23.59,2.28
ep,gnu,3B,48,943.07,19.65,2.28
ep,gnu,4C,1,34.49,34.49,249.07
ep,gnu,4C,2,53.70,26.85,159.96
ep,gnu,4C,4,132.64,33.16,64.76
ep,gnu,4C,8,246.03,30.75,34.91
ep,gnu,4C,16,489.57,30.60,17.55
ep,gnu,4C,32,769.40,24.04,11.16
ep,gnu,4C,40,942.35,23.56,9.12
ep,gnu,4C,48,998.94,20.81,8.60
ep,gnu,1W,1,34.37,34.37,1.95
ep,gnu,1W,2,53.46,26.73,1.26
